Data	etched_(Thermal_SiO2)_15sec
Recipe	SINGH
Site Name	
Points	276
X-Resolution	0.400000
X-Coord	-481.75
Y-Coord	212.85
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	   -186875	         0	   48.8396	   48.8396	   48.8396
2	   -186854	   21.6875	   48.2441	   48.2441	   48.2441
3	   -186745	   130.063	   46.8244	   46.8244	   46.8244
4	   -186819	   56.3594	   25.7974	   25.7974	   25.7974
5	   -186957	  -81.2813	  -4.45703	  -4.45703	  -4.45703
6	   -186911	  -35.7656	  -23.9518	  -23.9518	  -23.9518
7	   -186854	   21.6875	  -37.7154	  -37.7154	  -37.7154
8	   -186933	  -57.4375	  -58.3269	  -58.3269	  -58.3269
9	   -187017	  -141.969	   -78.533	   -78.533	   -78.533
10	   -186952	  -76.9375	  -91.6269	  -91.6269	  -91.6269
11	   -186905	    -29.25	   -111.39	   -111.39	   -111.39
12	   -187060	  -184.234	  -144.342	  -144.342	  -144.342
13	   -187097	  -222.172	  -171.902	  -171.902	  -171.902
14	   -187058	  -183.156	  -180.388	  -180.388	  -180.388
15	   -187031	  -156.063	  -180.949	  -180.949	  -180.949
16	   -187044	  -169.063	  -191.469	  -191.469	  -191.469
17	   -187079	   -203.75	  -215.946	  -215.946	  -215.946
18	   -187143	  -267.688	  -241.847	  -241.847	  -241.847
19	   -187180	  -304.547	  -253.665	  -253.665	  -253.665
20	   -187106	  -230.844	  -254.317	  -254.317	  -254.317
21	   -187063	  -187.484	  -264.151	  -264.151	  -264.151
22	   -187196	  -320.797	  -287.137	  -287.137	  -287.137
23	   -187262	  -386.906	  -300.862	  -300.862	  -300.862
24	   -187140	  -264.438	  -298.601	  -298.601	  -298.601
25	   -187100	  -224.344	  -310.325	  -310.325	  -310.325
26	   -187168	  -292.625	   -356.69	   -356.69	   -356.69
27	   -187422	  -546.234	  -406.188	  -406.188	  -406.188
28	   -187402	  -526.719	  -415.205	  -415.205	  -415.205
29	   -187130	  -254.688	  -401.452	  -401.452	  -401.452
30	   -187179	  -303.453	  -418.975	  -418.975	  -418.975
31	   -187449	  -573.328	  -464.029	  -464.029	  -464.029
32	   -187513	  -637.266	  -481.177	  -481.177	  -481.177
33	   -187235	  -359.813	  -461.523	  -461.523	  -461.523
