Data	etched_(Thermal_SiO2+PR)_15sec
Recipe	SINGH
Site Name	
Points	404
X-Resolution	0.399504
X-Coord	15135.34
Y-Coord	-23164.80
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	    118115	         0	  -114.112	  -114.112	  -114.112
2	    117938	  -176.656	  -145.234	  -145.234	  -145.234
3	    117847	  -267.695	  -171.192	  -171.192	  -171.192
4	    117935	  -179.914	  -171.365	  -171.365	  -171.365
5	    118045	  -69.3672	  -168.495	  -168.495	  -168.495
6	    117948	  -166.906	   -187.68	   -187.68	   -187.68
7	    117812	  -302.383	  -213.564	  -213.564	  -213.564
8	    117868	  -247.109	   -220.38	   -220.38	   -220.38
9	    117960	  -154.984	  -216.478	  -216.478	  -216.478
10	    117932	  -183.164	  -225.263	  -225.263	  -225.263
11	    117806	  -308.883	   -244.14	   -244.14	   -244.14
12	    117840	  -274.203	  -255.575	  -255.575	  -255.575
13	    117915	  -199.422	  -258.942	  -258.942	  -258.942
14	    117806	  -308.883	  -260.979	  -260.979	  -260.979
15	    117833	  -281.789	  -263.067	  -263.067	  -263.067
16	    117948	  -166.906	  -275.649	  -275.649	  -275.649
17	    117788	  -326.227	      -303	      -303	      -303
18	    117679	  -435.688	  -319.992	  -319.992	  -319.992
19	    117810	  -304.547	  -311.591	  -311.591	  -311.591
20	    117929	  -185.328	  -307.352	  -307.352	  -307.352
21	    117813	  -301.297	  -331.111	  -331.111	  -331.111
22	    117590	  -524.563	   -353.93	   -353.93	   -353.93
23	    117760	  -354.406	  -348.429	  -348.429	  -348.429
24	    117956	  -158.234	  -346.215	  -346.215	  -346.215
25	    117730	   -384.75	  -376.631	  -376.631	  -376.631
26	    117511	   -603.68	  -405.822	  -405.822	  -405.822
27	    117762	  -352.234	  -406.667	  -406.667	  -406.667
28	    117881	  -234.102	  -413.958	  -413.958	  -413.958
29	    117572	  -542.984	  -446.821	  -446.821	  -446.821
30	    117511	   -603.68	  -466.257	  -466.257	  -466.257
31	    117731	  -383.664	  -455.545	  -455.545	  -455.545
32	    117774	  -340.313	  -451.384	  -451.384	  -451.384
33	    117584	  -531.063	  -470.549	  -470.549	  -470.549
34	    117548	  -566.828	  -485.663	  -485.663	  -485.663
35	    117682	  -432.438	  -484.873	  -484.873	  -484.873
36	    117690	  -424.852	  -488.611	  -488.611	  -488.611
37	    117552	  -562.492	  -502.072	  -502.072	  -502.072
38	    117559	  -555.992	  -507.722	  -507.722	  -507.722
39	    117676	  -438.938	  -505.741	  -505.741	  -505.741
40	    117635	  -480.125	  -511.838	  -511.838	  -511.838
41	    117514	  -600.422	  -520.617	  -520.617	  -520.617
42	    117579	  -535.398	  -518.009	  -518.009	  -518.009
43	    117691	  -423.766	  -517.094	  -517.094	  -517.094
44	    117604	  -510.469	  -535.918	  -535.918	  -535.918
45	    117455	  -660.031	  -558.451	  -558.451	  -558.451
46	    117528	  -586.336	  -562.344	  -562.344	  -562.344
47	    117665	  -449.781	  -560.954	  -560.954	  -560.954
48	    117524	  -590.672	  -572.901	  -572.901	  -572.901
49	    117446	  -668.703	  -582.316	  -582.316	  -582.316
50	    117539	    -575.5	  -572.383	  -572.383	  -572.383
51	    117631	  -483.375	  -563.214	  -563.214	  -563.214
52	    117597	  -518.055	  -578.596	  -578.596	  -578.596
53	    117393	  -721.813	  -601.122	  -601.122	  -601.122
54	    117467	  -648.109	  -600.842	  -600.842	  -600.842
55	    117637	  -477.953	  -590.689	  -590.689	  -590.689
56	    117559	  -555.992	  -601.936	  -601.936	  -601.936
57	    117397	  -717.477	  -623.919	  -623.919	  -623.919
58	    117415	  -700.133	  -625.336	  -625.336	  -625.336
59	    117617	  -497.461	  -616.404	  -616.404	  -616.404
60	    117559	  -555.992	  -629.363	  -629.363	  -629.363
61	    117319	  -795.508	  -653.397	  -653.397	  -653.397
62	    117420	  -694.719	  -657.338	  -657.338	  -657.338
63	    117598	  -516.977	  -655.168	  -655.168	  -655.168
64	    117463	  -651.367	  -676.061	  -676.061	  -676.061
65	    117279	  -835.609	  -702.382	  -702.382	  -702.382
66	    117397	  -717.477	  -704.723	  -704.723	  -704.723
67	    117520	  -595.008	   -698.54	   -698.54	   -698.54
68	    117413	  -701.219	  -710.483	  -710.483	  -710.483
69	    117307	   -807.43	  -729.538	  -729.538	  -729.538
70	    117370	   -744.57	  -733.884	  -733.884	  -733.884
71	    117441	  -674.125	  -729.214	  -729.214	  -729.214
72	    117372	  -742.406	  -730.105	  -730.105	  -730.105
73	    117357	  -757.578	  -735.002	  -735.002	  -735.002
74	    117397	  -717.477	    -738.5	    -738.5	    -738.5
75	    117372	  -742.406	  -742.123	  -742.123	  -742.123
76	    117355	  -759.742	  -746.465	  -746.465	  -746.465
77	    117376	  -739.148	  -750.084	  -750.084	  -750.084
78	    117360	  -754.328	  -752.695	  -752.695	  -752.695
79	    117344	  -770.586	  -752.885	  -752.885	  -752.885
80	    117377	   -738.07	  -749.571	  -749.571	  -749.571
81	    117365	  -749.992	  -744.216	  -744.216	  -744.216
82	    117369	  -745.656	  -739.672	  -739.672	  -739.672
