Data	etched_(PECVD_SiO2)_20sec
Recipe	SINGH
Site Name	
Points	3356
X-Resolution	0.400000
X-Coord	-5106.42
Y-Coord	1020.80
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -83565.3	         0	   120.627	   120.627	   120.627
2	  -83401.7	   163.656	   119.317	   119.317	   119.317
3	  -83351.8	   213.508	   111.223	   111.223	   111.223
4	  -83513.3	   52.0234	   80.1589	   80.1589	   80.1589
5	  -83606.5	  -41.1875	   46.4137	   46.4137	   46.4137
6	  -83478.6	   86.7031	   19.5406	   19.5406	   19.5406
7	  -83502.5	   62.8594	  -15.8273	  -15.8273	  -15.8273
8	  -83752.8	    -187.5	  -53.9398	  -53.9398	  -53.9398
9	  -83666.1	  -100.789	  -74.1855	  -74.1855	  -74.1855
10	    -83509	   56.3594	  -86.6843	  -86.6843	  -86.6843
11	  -83756.1	   -190.75	  -104.749	  -104.749	  -104.749
12	  -83772.3	  -207.008	  -114.654	  -114.654	  -114.654
13	  -83533.9	   31.4297	  -120.234	  -120.234	  -120.234
14	    -83691	  -125.719	  -141.188	  -141.188	  -141.188
15	  -83877.4	  -312.133	  -157.971	  -157.971	  -157.971
16	  -83732.2	  -166.906	  -144.091	  -144.091	  -144.091
17	  -83532.8	   32.5156	  -127.396	  -127.396	  -127.396
18	  -83681.3	  -115.969	  -144.327	  -144.327	  -144.327
19	  -83877.4	  -312.133	   -176.07	   -176.07	   -176.07
20	    -83742	  -176.656	  -192.498	  -192.498	  -192.498
21	  -83667.2	  -101.875	  -207.259	  -207.259	  -207.259
22	  -83830.8	  -265.531	  -236.668	  -236.668	  -236.668
23	  -83925.1	   -359.82	   -260.62	   -260.62	   -260.62
24	  -83805.9	  -240.602	  -266.638	  -266.638	  -266.638
25	    -83742	  -176.656	  -281.476	  -281.476	  -281.476
26	  -83882.9	  -317.555	  -324.537	  -324.537	  -324.537
27	  -84029.2	  -463.867	   -370.27	   -370.27	   -370.27
28	    -84014	  -448.695	  -389.774	  -389.774	  -389.774
29	  -83842.8	  -277.453	  -400.419	  -400.419	  -400.419
30	  -83945.7	  -380.414	  -432.723	  -432.723	  -432.723
31	  -84184.2	  -618.852	  -471.481	  -471.481	  -471.481
32	  -84060.6	  -495.297	  -485.006	  -485.006	  -485.006
33	  -83980.4	  -415.094	  -485.667	  -485.667	  -485.667
34	  -84009.7	  -444.359	  -504.894	  -504.894	  -504.894
35	  -84176.6	  -611.266	  -536.193	  -536.193	  -536.193
36	  -84200.4	  -635.109	   -550.29	   -550.29	   -550.29
37	  -84002.1	  -436.773	  -548.719	  -548.719	  -548.719
