Data	etched_(PECVD_SiO2)_20sec_2
Recipe	SINGH
Site Name	
Points	146
X-Resolution	0.400000
X-Coord	-7622.61
Y-Coord	566.40
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	   42153.3	         0	  -45.8113	  -45.8113	  -45.8113
2	   42075.3	  -78.0352	  -77.6113	  -77.6113	  -77.6113
3	     41994	   -159.32	  -107.862	  -107.862	  -107.862
4	   42014.6	  -138.727	  -124.656	  -124.656	  -124.656
5	     42059	   -94.293	  -140.032	  -140.032	  -140.032
6	   42044.9	  -108.379	  -172.452	  -172.452	  -172.452
7	   41859.6	  -293.711	  -213.475	  -213.475	  -213.475
8	   41856.4	  -296.961	  -241.417	  -241.417	  -241.417
9	   41998.3	  -154.984	  -264.108	  -264.108	  -264.108
10	   41881.3	  -272.035	  -300.758	  -300.758	  -300.758
11	   41689.4	  -463.867	  -331.254	  -331.254	  -331.254
12	   41744.7	  -408.594	  -326.651	  -326.651	  -326.651
13	   42027.6	  -125.723	  -313.025	  -313.025	  -313.025
14	   41874.8	  -278.539	  -330.868	  -330.868	  -330.868
15	   41602.7	   -550.57	  -355.946	  -355.946	  -355.946
16	   41779.4	   -373.91	  -343.285	  -343.285	  -343.285
17	   41961.5	  -191.832	  -311.405	  -311.405	  -311.405
18	   41905.1	  -248.191	  -306.842	  -306.842	  -306.842
19	   41757.7	  -395.586	  -328.951	  -328.951	  -328.951
20	   41766.4	  -386.918	  -347.086	  -347.086	  -347.086
21	   41854.2	  -299.129	   -358.11	   -358.11	   -358.11
22	   41811.9	  -341.398	  -382.948	  -382.948	  -382.948
23	   41702.5	  -450.863	  -425.892	  -425.892	  -425.892
24	   41676.4	  -476.871	   -468.59	   -468.59	   -468.59
25	   41610.3	  -542.984	  -492.703	  -492.703	  -492.703
26	   41636.3	  -516.973	  -498.142	  -498.142	  -498.142
27	   41729.6	  -423.766	  -508.952	  -508.952	  -508.952
28	   41661.3	  -492.047	  -548.687	  -548.687	  -548.687
29	   41485.7	  -667.621	  -602.637	  -602.637	  -602.637
30	   41413.1	  -740.234	  -631.233	  -631.233	  -631.233
31	   41559.4	  -593.922	  -627.709	  -627.709	  -627.709
32	   41624.4	  -528.895	  -629.932	  -629.932	  -629.932
33	   41508.5	  -644.863	  -663.182	  -663.182	  -663.182
34	   41354.6	  -798.762	  -705.458	  -705.458	  -705.458
35	   41403.3	  -749.992	  -728.121	  -728.121	  -728.121
36	   41480.3	  -673.039	   -737.92	   -737.92	   -737.92
37	   41400.1	  -753.242	  -752.556	  -752.556	  -752.556
38	   41331.8	   -821.52	  -765.004	  -765.004	  -765.004
39	   41366.5	   -786.84	  -761.627	  -761.627	  -761.627
40	   41460.8	  -692.551	  -752.472	  -752.472	  -752.472
41	   41420.7	  -732.648	   -756.72	   -756.72	   -756.72
42	   41350.2	  -803.098	  -773.489	  -773.489	  -773.489
43	   41348.1	  -805.266	  -790.481	  -790.481	  -790.481
44	   41390.3	  -762.996	  -807.299	  -807.299	  -807.299
45	   41318.8	  -834.527	  -827.941	  -827.941	  -827.941
46	   41252.7	  -900.637	  -847.329	  -847.329	  -847.329
47	   41337.2	  -816.102	  -869.222	  -869.222	  -869.222
48	   41314.5	  -838.863	  -917.577	  -917.577	  -917.577
49	   41163.8	  -989.512	  -1018.11	  -1018.11	  -1018.11
50	   41040.3	  -1113.06	  -1205.43	  -1205.43	  -1205.43
51	   40991.5	  -1161.84	   -1540.8	   -1540.8	   -1540.8
52	   40257.8	  -1895.57	  -2041.45	  -2041.45	  -2041.45
53	   39240.1	  -2913.25	  -2590.82	  -2590.82	  -2590.82
54	   38862.9	  -3290.42	  -3013.26	  -3013.26	  -3013.26
55	     38748	   -3405.3	  -3234.88	  -3234.88	  -3234.88
56	   38847.7	  -3305.59	  -3316.77	  -3316.77	  -3316.77
57	     38916	  -3237.31	  -3359.86	  -3359.86	  -3359.86
58	   38667.8	   -3485.5	  -3405.82	  -3405.82	  -3405.82
59	   38615.8	  -3537.52	  -3431.24	  -3431.24	  -3431.24
60	   38755.6	  -3397.71	  -3424.45	  -3424.45	  -3424.45
61	   38830.4	  -3322.93	  -3417.74	  -3417.74	  -3417.74
62	     38709	  -3444.32	  -3436.47	  -3436.47	  -3436.47
63	   38649.4	  -3503.93	  -3468.19	  -3468.19	  -3468.19
64	   38651.6	  -3501.76	  -3495.17	  -3495.17	  -3495.17
65	   38671.1	  -3482.25	  -3521.28	  -3521.28	  -3521.28
66	   38615.8	  -3537.52	  -3553.29	  -3553.29	  -3553.29
67	   38487.9	  -3665.41	  -3579.39	  -3579.39	  -3579.39
68	   38571.4	  -3581.96	   -3588.1	   -3588.1	   -3588.1
69	   38613.6	  -3539.69	  -3590.84	  -3590.84	  -3590.84
70	   38538.8	  -3614.47	  -3602.31	  -3602.31	  -3602.31
71	   38519.3	  -3633.98	   -3621.7	   -3621.7	   -3621.7
72	   38539.9	  -3613.39	   -3646.8	   -3646.8	   -3646.8
73	   38482.5	  -3670.83	  -3679.64	  -3679.64	  -3679.64
74	     38411	  -3742.36	  -3714.28	  -3714.28	  -3714.28
75	   38395.8	  -3757.54	  -3740.27	  -3740.27	  -3740.27
76	   38397.9	  -3755.37	  -3758.77	  -3758.77	  -3758.77
77	   38416.4	  -3736.94	   -3781.7	   -3781.7	   -3781.7
78	   38331.8	  -3821.48	   -3811.7	   -3811.7	   -3811.7
79	   38249.5	  -3903.85	  -3834.79	  -3834.79	  -3834.79
80	   38335.1	  -3818.23	  -3843.59	  -3843.59	  -3843.59
81	   38331.8	  -3821.48	  -3850.49	  -3850.49	  -3850.49
82	     38282	  -3871.34	  -3866.56	  -3866.56	  -3866.56
83	   38259.2	  -3894.09	  -3889.15	  -3889.15	  -3889.15
84	   38249.5	  -3903.85	  -3912.79	  -3912.79	  -3912.79
85	   38211.5	  -3941.78	  -3933.76	  -3933.76	  -3933.76
86	   38176.9	  -3976.46	  -3946.75	  -3946.75	  -3946.75
87	     38205	  -3948.29	  -3950.84	  -3950.84	  -3950.84
88	   38223.5	  -3929.86	  -3954.81	  -3954.81	  -3954.81
89	   38196.4	  -3956.95	  -3967.34	  -3967.34	  -3967.34
90	   38154.1	  -3999.22	  -3988.32	  -3988.32	  -3988.32
91	   38151.9	  -4001.39	  -4015.77	  -4015.77	  -4015.77
92	   38132.4	   -4020.9	  -4050.54	  -4050.54	  -4050.54
93	   38029.5	  -4123.86	  -4087.07	  -4087.07	  -4087.07
94	   38005.6	   -4147.7	  -4115.64	  -4115.64	  -4115.64
95	   38067.4	  -4085.93	  -4138.78	  -4138.78	  -4138.78
96	   37990.4	  -4162.88	  -4162.43	  -4162.43	  -4162.43
97	   37883.1	  -4270.17	  -4177.63	  -4177.63	  -4177.63
98	   38018.6	   -4134.7	  -4181.52	  -4181.52	  -4181.52
99	   38030.5	  -4122.78	  -4193.58	  -4193.58	  -4193.58
100	   37892.9	  -4260.42	  -4222.99	  -4222.99	  -4222.99
101	   37874.5	  -4278.84	  -4252.92	  -4252.92	  -4252.92
102	   37876.6	  -4276.68	  -4269.15	  -4269.15	  -4269.15
103	     37881	  -4272.34	   -4274.5	   -4274.5	   -4274.5
104	     37881	  -4272.34	  -4276.11	  -4276.11	  -4276.11
105	   37858.2	   -4295.1	  -4277.87	  -4277.87	  -4277.87
106	   37904.8	   -4248.5	  -4285.07	  -4285.07	  -4285.07
107	   37878.8	  -4274.51	   -4299.3	   -4299.3	   -4299.3
108	     37752	  -4401.31	  -4306.16	  -4306.16	  -4306.16
109	   37844.1	  -4309.19	  -4295.54	  -4295.54	  -4295.54
110	   37987.2	  -4166.13	  -4289.66	  -4289.66	  -4289.66
111	     37855	  -4298.35	  -4310.18	  -4310.18	  -4310.18
112	     37713	  -4440.33	  -4336.02	  -4336.02	  -4336.02
113	   37786.7	  -4366.63	  -4338.86	  -4338.86	  -4338.86
114	   37904.8	   -4248.5	  -4333.08	  -4333.08	  -4333.08
115	   37864.7	   -4288.6	   -4347.4	   -4347.4	   -4347.4
116	   37680.5	  -4472.84	  -4371.97	  -4371.97	  -4371.97
117	     37726	  -4427.32	  -4378.41	  -4378.41	  -4378.41
118	   37876.6	  -4276.68	  -4372.38	  -4372.38	  -4372.38
119	   37786.7	  -4366.63	  -4378.24	  -4378.24	  -4378.24
120	   37702.1	  -4451.17	  -4394.19	  -4394.19	  -4394.19
121	   37761.8	  -4391.56	  -4405.48	  -4405.48	  -4405.48
122	   37758.5	  -4394.81	  -4413.88	  -4413.88	  -4413.88
123	   37720.6	  -4432.74	  -4429.25	  -4429.25	  -4429.25
124	   37729.2	  -4424.07	  -4455.18	  -4455.18	  -4455.18
125	   37652.3	  -4501.02	  -4488.29	  -4488.29	  -4488.29
126	   37611.1	  -4542.21	  -4521.94	  -4521.94	  -4521.94
127	   37632.8	  -4520.53	  -4553.07	  -4553.07	  -4553.07
128	     37545	  -4608.32	  -4578.44	  -4578.44	  -4578.44
129	   37512.5	  -4640.83	  -4589.39	  -4589.39	  -4589.39
130	   37590.5	   -4562.8	  -4587.88	  -4587.88	  -4587.88
131	     37610	  -4543.29	   -4593.1	   -4593.1	   -4593.1
132	   37547.2	  -4606.15	  -4615.93	  -4615.93	  -4615.93
133	   37464.8	  -4688.52	  -4642.66	  -4642.66	  -4642.66
134	     37468	  -4685.27	  -4655.55	  -4655.55	  -4655.55
135	   37528.7	  -4624.57	   -4657.6	   -4657.6	   -4657.6
136	   37509.2	  -4644.08	  -4664.43	  -4664.43	  -4664.43
137	   37463.7	   -4689.6	  -4680.73	  -4680.73	  -4680.73
138	   37445.3	  -4708.03	  -4698.84	  -4698.84	  -4698.84
139	   37432.3	  -4721.04	  -4713.87	  -4713.87	  -4713.87
140	   37452.9	  -4700.44	  -4728.63	  -4728.63	  -4728.63
141	     37390	   -4763.3	  -4743.35	  -4743.35	  -4743.35
142	   37371.6	  -4781.73	  -4751.13	  -4751.13	  -4751.13
143	     37416	  -4737.29	  -4751.31	  -4751.31	  -4751.31
144	   37420.4	  -4732.96	  -4756.37	  -4756.37	  -4756.37
145	   37422.5	  -4730.79	   -4775.5	   -4775.5	   -4775.5
146	   37284.9	  -4868.43	  -4797.95	  -4797.95	  -4797.95
