Data	etched_(PECVD_SiO2)_3min
Recipe	SINGH
Site Name	
Points	1501
X-Resolution	0.400000
X-Coord	-3523.85
Y-Coord	-7319.95
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	    770641	         0	   -125.09	   -125.09	   -125.09
2	    770501	  -140.875	  -122.347	  -122.347	  -122.347
3	    770375	  -266.625	  -112.004	  -112.004	  -112.004
4	    770625	    -16.25	  -80.5016	  -80.5016	  -80.5016
5	    770719	   78.0625	  -63.9504	  -63.9504	  -63.9504
6	    770524	  -117.063	  -81.7971	  -81.7971	  -81.7971
7	    770426	  -215.688	  -97.6267	  -97.6267	  -97.6267
8	    770563	       -78	  -78.9928	  -78.9928	  -78.9928
9	    770634	   -7.5625	  -41.0528	  -41.0528	  -41.0528
10	    770669	    27.125	  -11.5461	  -11.5461	  -11.5461
11	    770621	  -20.5625	   10.2223	   10.2223	   10.2223
12	    770606	    -35.75	   41.1584	   41.1584	   41.1584
13	    770803	     161.5	   71.2178	   71.2178	   71.2178
14	    770831	   189.688	   65.1744	   65.1744	   65.1744
15	    770616	  -24.9375	   21.9654	   21.9654	   21.9654
16	    770499	      -142	  -13.1495	  -13.1495	  -13.1495
17	    770646	    4.3125	  -17.4991	  -17.4991	  -17.4991
18	    770741	   99.6875	  -21.0939	  -21.0939	  -21.0939
19	    770563	       -78	  -44.7643	  -44.7643	  -44.7643
20	    770476	  -165.813	  -62.7448	  -62.7448	  -62.7448
21	    770585	   -56.375	  -54.6759	  -54.6759	  -54.6759
22	    770700	      58.5	  -43.4054	  -43.4054	  -43.4054
23	    770597	  -44.4375	  -49.3562	  -49.3562	  -49.3562
24	    770461	  -179.938	  -50.8104	  -50.8104	  -50.8104
25	    770621	  -20.5625	  -27.2886	  -27.2886	  -27.2886
26	    770745	   104.063	  -2.82243	  -2.82243	  -2.82243
27	    770658	     16.25	  -4.34687	  -4.34687	  -4.34687
28	    770537	  -104.063	  -14.9121	  -14.9121	  -14.9121
29	    770601	   -40.125	  -7.11212	  -7.11212	  -7.11212
30	    770734	    92.125	   9.28207	   9.28207	   9.28207
31	    770684	     42.25	   10.5638	   10.5638	   10.5638
32	    770572	   -69.375	   4.56436	   4.56436	   4.56436
33	    770618	  -23.8125	   13.9252	   13.9252	   13.9252
34	    770736	   94.3125	   32.8131	   32.8131	   32.8131
35	    770728	   86.6875	   38.4057	   38.4057	   38.4057
36	    770616	  -24.9375	   32.2455	   32.2455	   32.2455
37	    770640	   -1.0625	   34.2426	   34.2426	   34.2426
38	    770732	   91.0625	   45.5401	   45.5401	   45.5401
39	    770712	   70.4375	   51.0374	   51.0374	   51.0374
40	    770674	      32.5	   51.3703	   51.3703	   51.3703
41	    770651	      9.75	   65.9952	   65.9952	   65.9952
42	    770709	   67.1875	   103.204	   103.204	   103.204
43	    770886	   244.938	   141.873	   141.873	   141.873
44	    770822	       181	   161.224	   161.224	   161.224
45	    770724	    82.375	   177.608	   177.608	   177.608
46	    770822	       181	   217.419	   217.419	   217.419
47	    770973	   331.625	   267.864	   267.864	   267.864
48	    771026	    384.75	   292.316	   292.316	   292.316
49	    770911	   269.875	   287.225	   287.225	   287.225
50	    770802	   160.438	    290.15	    290.15	    290.15
51	    770981	    339.25	   321.255	   321.255	   321.255
52	    771105	   463.875	   353.085	   353.085	   353.085
53	    770995	   353.313	   364.267	   364.267	   364.267
54	    770916	   274.188	    381.38	    381.38	    381.38
55	    771022	   380.438	   433.107	   433.107	   433.107
56	    771243	     601.5	   497.525	   497.525	   497.525
57	    771268	   626.438	   535.259	   535.259	   535.259
58	    771076	   434.625	   553.598	   553.598	   553.598
59	    771167	   525.625	   584.597	   584.597	   584.597
60	    771414	    772.75	   617.905	   617.905	   617.905
61	    771296	   654.625	    625.31	    625.31	    625.31
62	    771125	   483.375	   625.098	   625.098	   625.098
63	    771274	   632.938	   647.096	   647.096	   647.096
64	    771456	       815	   673.691	   673.691	   673.691
65	    771294	   652.438	   681.307	   681.307	   681.307
66	    771227	    585.25	   689.286	   689.286	   689.286
67	    771382	    740.25	   715.112	   715.112	   715.112
68	    771475	   833.438	    736.84	    736.84	    736.84
69	    771374	   732.625	   739.715	   739.715	   739.715
70	    771259	    617.75	   749.023	   749.023	   749.023
71	    771451	   809.625	   780.966	   780.966	   780.966
72	    771573	   932.063	   809.281	   809.281	   809.281
73	    771417	       776	   817.626	   817.626	   817.626
74	    771351	   709.875	   827.519	   827.519	   827.519
75	    771594	   952.688	   839.771	   839.771	   839.771
76	    771615	    973.25	   823.413	   823.413	   823.413
77	    771249	       608	   792.633	   792.633	   792.633
78	    771297	   655.688	   799.611	   799.611	   799.611
79	    771676	   1035.06	   834.675	   834.675	   834.675
80	    771560	   919.063	   843.057	   843.057	   843.057
81	    771324	   682.813	   830.767	   830.767	   830.767
82	    771408	    766.25	   845.548	   845.548	   845.548
83	    771637	       996	   881.814	   881.814	   881.814
84	    771630	   988.438	   895.919	   895.919	   895.919
85	    771422	   780.313	   888.628	   888.628	   888.628
86	    771473	    831.25	   897.139	   897.139	   897.139
87	    771644	    1002.5	   925.016	   925.016	   925.016
88	    771627	   985.188	    944.79	    944.79	    944.79
89	    771538	   896.313	   950.447	   950.447	   950.447
90	    771597	   955.938	   955.258	   955.258	   955.258
91	    771653	   1011.19	   961.296	   961.296	   961.296
92	    771560	   919.063	   968.218	   968.218	   968.218
93	    771591	   949.438	    982.02	    982.02	    982.02
94	    771710	   1068.63	   993.982	   993.982	   993.982
95	    771671	   1029.63	   988.836	   988.836	   988.836
96	    771541	   899.563	    980.75	    980.75	    980.75
97	    771546	       905	   996.825	   996.825	   996.825
98	    771789	   1147.75	   1024.42	   1024.42	   1024.42
99	    771766	      1125	   1031.32	   1031.32	   1031.32
100	    771480	   838.875	   1034.94	   1034.94	   1034.94
101	    771652	   1010.13	   1071.76	   1071.76	   1071.76
102	    771970	   1328.75	   1114.07	   1114.07	   1114.07
103	    771811	   1169.44	   1115.58	   1115.58	   1115.58
104	    771540	     898.5	    1102.6	    1102.6	    1102.6
105	    771737	   1095.75	   1119.65	   1119.65	   1119.65
106	    771994	   1352.56	   1142.98	   1142.98	   1142.98
107	    771731	   1089.25	   1140.49	   1140.49	   1140.49
108	    771630	   988.438	   1144.14	   1144.14	   1144.14
109	    771843	   1201.94	    1186.6	    1186.6	    1186.6
110	    771971	   1329.81	   1241.26	   1241.26	   1241.26
111	    771934	      1293	    1272.1	    1272.1	    1272.1
112	    771896	   1255.06	   1284.98	   1284.98	   1284.98
113	    771895	   1253.94	   1305.25	   1305.25	   1305.25
114	    772011	   1369.94	   1336.79	   1336.79	   1336.79
115	    772056	   1414.38	   1364.26	   1364.26	   1364.26
116	    771966	   1324.44	   1383.58	   1383.58	   1383.58
117	    772053	   1411.13	   1400.08	   1400.08	   1400.08
118	    772126	   1484.81	   1406.43	   1406.43	   1406.43
119	    772008	   1366.69	   1396.82	   1396.82	   1396.82
120	    771994	   1352.56	   1383.42	   1383.42	   1383.42
121	    772051	      1410	   1379.16	   1379.16	   1379.16
122	    771979	   1337.44	   1391.84	   1391.84	   1391.84
123	    771995	   1353.69	   1425.27	   1425.27	   1425.27
124	    772231	   1589.94	   1459.47	   1459.47	   1459.47
125	    772158	   1516.25	   1467.81	   1467.81	   1467.81
126	    771990	   1348.25	   1465.52	   1465.52	   1465.52
127	    772082	   1440.38	   1488.04	   1488.04	   1488.04
128	    772244	   1602.94	   1532.19	   1532.19	   1532.19
129	    772228	   1586.69	   1569.84	   1569.84	   1569.84
130	    772232	      1591	   1600.22	   1600.22	   1600.22
131	    772187	    1545.5	    1652.6	    1652.6	    1652.6
132	    772339	   1697.25	   1736.27	   1736.27	   1736.27
133	    772627	    1985.5	   1801.84	   1801.84	   1801.84
134	    772605	   1963.88	   1788.61	   1788.61	   1788.61
135	    772262	   1620.31	   1719.79	   1719.79	   1719.79
136	    772060	   1418.69	   1693.57	   1693.57	   1693.57
137	    772404	   1762.25	   1753.22	   1753.22	   1753.22
138	    772669	   2027.81	   1827.73	   1827.73	   1827.73
139	    772572	   1930.25	   1835.45	   1835.45	   1835.45
140	    772370	   1728.69	   1786.76	   1786.76	   1786.76
141	    772268	   1626.81	   1751.03	   1751.03	   1751.03
142	    772366	   1724.31	   1759.92	   1759.92	   1759.92
143	    772567	   1925.94	   1775.95	   1775.95	   1775.95
144	    772463	   1821.88	   1763.04	   1763.04	   1763.04
145	    772167	      1526	   1752.82	   1752.82	   1752.82
146	    772402	   1760.13	   1784.67	   1784.67	   1784.67
147	    772659	   2018.06	   1820.97	   1820.97	   1820.97
148	    772529	      1888	   1806.03	   1806.03	   1806.03
149	    772248	   1606.19	   1765.43	   1765.43	   1765.43
150	    772301	   1659.31	   1767.03	   1767.03	   1767.03
151	    772493	   1851.13	   1817.23	   1817.23	   1817.23
152	    772640	   1998.56	   1858.12	   1858.12	   1858.12
153	    772534	   1892.31	   1856.53	   1856.53	   1856.53
154	    772331	   1689.63	   1850.89	   1850.89	   1850.89
