Data	etched_(PECVD_SiO2)_3min_2
Recipe	SINGH
Site Name	
Points	251
X-Resolution	0.400000
X-Coord	-7780.30
Y-Coord	-7316.75
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	    692839	         0	   2.94358	   2.94358	   2.94358
2	    692921	    82.375	  -49.0707	  -49.0707	  -49.0707
3	    692625	    -213.5	  -108.016	  -108.016	  -108.016
4	    692544	  -294.813	  -131.224	  -131.224	  -131.224
5	    692822	    -16.25	  -115.319	  -115.319	  -115.319
6	    692855	     16.25	  -104.128	  -104.128	  -104.128
7	    692597	  -241.688	  -105.168	  -105.168	  -105.168
8	    692662	  -176.625	  -83.6446	  -83.6446	  -83.6446
9	    692930	   91.0625	  -42.5798	  -42.5798	  -42.5798
10	    692870	   31.4375	  -15.2793	  -15.2793	  -15.2793
11	    692715	  -123.563	    7.3099	    7.3099	    7.3099
12	    692828	  -10.8125	   53.2039	   53.2039	   53.2039
13	    693142	     303.5	   102.166	   102.166	   102.166
14	    692945	    106.25	   125.449	   125.449	   125.449
15	    692810	  -28.1875	   146.658	   146.658	   146.658
16	    693112	   273.125	   183.213	   183.213	   183.213
17	    693197	    358.75	   200.035	   200.035	   200.035
18	    692944	   105.125	   184.638	   184.638	   184.638
19	    692873	   34.6875	   179.306	   179.306	   179.306
20	    693128	   289.375	   199.036	   199.036	   199.036
21	    693165	    326.25	   206.719	   206.719	   206.719
22	    692942	   102.938	   191.108	   191.108	   191.108
23	    692933	   94.3125	   183.347	   183.347	   183.347
24	    693132	   293.688	   187.494	   187.494	   187.494
25	    693074	   235.188	   175.798	   175.798	   175.798
26	    692906	   67.1875	    152.26	    152.26	    152.26
27	    692906	   67.1875	   149.327	   149.327	   149.327
28	    693081	    242.75	   167.906	   167.906	   167.906
29	    693078	     239.5	   181.477	   181.477	   181.477
30	    692923	   84.5625	   189.741	   189.741	   189.741
31	    693038	   199.438	   210.145	   210.145	   210.145
32	    693162	       323	   233.379	   233.379	   233.379
33	    693081	    242.75	   242.702	   242.702	   242.702
34	    693008	   169.063	   251.092	   251.092	   251.092
35	    693122	   282.875	   277.021	   277.021	   277.021
36	    693182	   343.563	   313.756	   313.756	   313.756
37	    693176	   337.063	   346.139	   346.139	   346.139
38	    693222	   383.688	   368.533	   368.533	   368.533
39	    693249	    410.75	   380.882	   380.882	   380.882
40	    693196	   357.688	   389.876	   389.876	   389.876
41	    693213	   373.938	   405.686	   405.686	   405.686
42	    693307	   468.188	   424.484	   424.484	   424.484
43	    693307	   468.188	   431.839	   431.839	   431.839
44	    693239	   399.938	   427.576	   427.576	   427.576
45	    693233	     394.5	   424.277	   424.277	   424.277
46	    693304	   464.938	   422.093	   422.093	   422.093
47	    693284	   445.438	   411.943	   411.943	   411.943
