Data	etched_(PECVD_SiO2+PR)_3min
Recipe	SINGH
Site Name	
Points	1244
X-Resolution	0.399839
X-Coord	15277.53
Y-Coord	3993.60
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	-8.27423e+006	         0	   -116.59	   -116.59	   -116.59
2	-8.27446e+006	    -226.5	  -175.503	  -175.503	  -175.503
3	-8.27455e+006	      -315	   -227.75	   -227.75	   -227.75
4	-8.27447e+006	      -233	  -261.932	  -261.932	  -261.932
5	-8.27444e+006	    -203.5	  -305.672	  -305.672	  -305.672
6	-8.27462e+006	    -384.5	   -379.77	   -379.77	   -379.77
7	-8.27475e+006	      -518	  -470.503	  -470.503	  -470.503
8	-8.27476e+006	    -525.5	  -562.057	  -562.057	  -562.057
9	-8.27487e+006	      -636	    -653.9	    -653.9	    -653.9
10	-8.27503e+006	    -800.5	  -737.233	  -737.233	  -737.233
11	-8.27508e+006	    -848.5	  -794.838	  -794.838	  -794.838
12	-8.27504e+006	    -809.5	  -832.254	  -832.254	  -832.254
13	-8.27503e+006	    -795.5	  -878.699	  -878.699	  -878.699
14	-8.27519e+006	      -960	   -948.99	   -948.99	   -948.99
15	-8.2753e+006	   -1068.5	  -1027.76	  -1027.76	  -1027.76
16	-8.27533e+006	   -1094.5	  -1097.49	  -1097.49	  -1097.49
17	-8.27538e+006	   -1149.5	  -1156.06	  -1156.06	  -1156.06
18	-8.27548e+006	     -1247	  -1205.49	  -1205.49	  -1205.49
19	-8.27548e+006	     -1247	  -1254.27	  -1254.27	  -1254.27
20	-8.27543e+006	     -1194	  -1325.32	  -1325.32	  -1325.32
21	-8.27569e+006	     -1454	  -1425.37	  -1425.37	  -1425.37
22	-8.27585e+006	     -1618	  -1520.67	  -1520.67	  -1520.67
23	-8.27586e+006	   -1625.5	   -1579.7	   -1579.7	   -1579.7
24	-8.27579e+006	   -1562.5	  -1618.38	  -1618.38	  -1618.38
25	-8.27581e+006	   -1576.5	  -1673.83	  -1673.83	  -1673.83
26	-8.27607e+006	     -1841	  -1752.75	  -1752.75	  -1752.75
27	-8.27606e+006	     -1829	  -1840.75	  -1840.75	  -1840.75
28	-8.27606e+006	     -1824	  -1939.17	  -1939.17	  -1939.17
29	-8.27637e+006	     -2134	  -2041.04	  -2041.04	  -2041.04
30	-8.27648e+006	   -2248.5	  -2114.01	  -2114.01	  -2114.01
31	-8.2763e+006	   -2064.5	  -2154.21	  -2154.21	  -2154.21
32	-8.27635e+006	   -2116.5	  -2192.42	  -2192.42	  -2192.42
33	-8.2766e+006	   -2365.5	  -2224.95	  -2224.95	  -2224.95
34	-8.27657e+006	   -2339.5	  -2222.55	  -2222.55	  -2222.55
35	-8.27624e+006	     -2007	  -2212.76	  -2212.76	  -2212.76
36	-8.27635e+006	   -2114.5	  -2257.14	  -2257.14	  -2257.14
37	-8.27673e+006	     -2500	  -2348.28	  -2348.28	  -2348.28
38	-8.27674e+006	   -2505.5	  -2427.25	  -2427.25	  -2427.25
39	-8.27661e+006	   -2378.5	   -2485.6	   -2485.6	   -2485.6
40	-8.27673e+006	     -2497	  -2561.07	  -2561.07	  -2561.07
41	-8.27696e+006	   -2724.5	  -2662.14	  -2662.14	  -2662.14
42	-8.27701e+006	   -2776.5	  -2768.25	  -2768.25	  -2768.25
43	-8.27704e+006	     -2809	  -2872.45	  -2872.45	  -2872.45
44	-8.27726e+006	     -3029	   -2971.4	   -2971.4	   -2971.4
45	-8.27737e+006	     -3135	   -3047.7	   -3047.7	   -3047.7
46	-8.27727e+006	     -3040	  -3094.53	  -3094.53	  -3094.53
47	-8.27738e+006	   -3151.5	  -3119.35	  -3119.35	  -3119.35
48	-8.27747e+006	     -3237	  -3128.66	  -3128.66	  -3128.66
49	-8.2772e+006	     -2964	   -3153.1	   -3153.1	   -3153.1
50	-8.27732e+006	     -3092	  -3233.66	  -3233.66	  -3233.66
51	-8.27775e+006	   -3514.5	  -3339.68	  -3339.68	  -3339.68
52	-8.27786e+006	     -3627	  -3387.82	  -3387.82	  -3387.82
53	-8.27746e+006	   -3228.5	  -3371.35	  -3371.35	  -3371.35
54	-8.27744e+006	     -3209	  -3377.01	  -3377.01	  -3377.01
55	-8.27765e+006	     -3420	  -3462.69	  -3462.69	  -3462.69
56	-8.27787e+006	     -3637	  -3600.72	  -3600.72	  -3600.72
57	-8.27803e+006	   -3799.5	  -3737.97	  -3737.97	  -3737.97
58	-8.27806e+006	     -3830	  -3853.68	  -3853.68	  -3853.68
59	-8.2782e+006	   -3968.5	  -3952.77	  -3952.77	  -3952.77
60	-8.2783e+006	     -4065	   -4032.4	   -4032.4	   -4032.4
61	-8.27839e+006	   -4159.5	  -4078.77	  -4078.77	  -4078.77
62	-8.27834e+006	   -4108.5	  -4097.64	  -4097.64	  -4097.64
63	-8.27821e+006	   -3980.5	  -4128.65	  -4128.65	  -4128.65
64	-8.2784e+006	     -4168	  -4202.86	  -4202.86	  -4202.86
65	-8.27863e+006	   -4395.5	  -4301.85	  -4301.85	  -4301.85
66	-8.27862e+006	     -4390	  -4393.76	  -4393.76	  -4393.76
67	-8.27866e+006	     -4423	  -4477.87	  -4477.87	  -4477.87
68	-8.27883e+006	   -4598.5	  -4560.62	  -4560.62	  -4560.62
69	-8.27892e+006	     -4686	  -4628.83	  -4628.83	  -4628.83
70	-8.27891e+006	     -4682	  -4673.99	  -4673.99	  -4673.99
71	-8.27891e+006	   -4675.5	   -4713.2	   -4713.2	   -4713.2
72	-8.27894e+006	     -4710	  -4767.39	  -4767.39	  -4767.39
73	-8.27913e+006	     -4894	  -4832.06	  -4832.06	  -4832.06
74	-8.27916e+006	     -4929	  -4890.19	  -4890.19	  -4890.19
75	-8.27909e+006	   -4860.5	  -4948.71	  -4948.71	  -4948.71
76	-8.27922e+006	     -4985	  -5026.15	  -5026.15	  -5026.15
77	-8.27944e+006	   -5208.5	  -5113.52	  -5113.52	  -5113.52
78	-8.27942e+006	     -5188	  -5192.28	  -5192.28	  -5192.28
79	-8.27942e+006	     -5190	  -5271.15	  -5271.15	  -5271.15
80	-8.27961e+006	     -5381	  -5361.23	  -5361.23	  -5361.23
