Data	etched_(PECVD_SiO2+PR)_3min_2
Recipe	SINGH
Site Name	
Points	436
X-Resolution	0.400000
X-Coord	21674.10
Y-Coord	4835.20
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	-1.00303e+006	         0	  -53.5128	  -53.5128	  -53.5128
2	-1.00314e+006	  -112.688	  -134.558	  -134.558	  -134.558
3	-1.00331e+006	  -283.938	  -215.902	  -215.902	  -215.902
4	-1.00337e+006	  -344.625	  -268.671	  -268.671	  -268.671
5	-1.00328e+006	   -255.75	  -297.148	  -297.148	  -297.148
6	-1.00329e+006	  -257.938	  -336.743	  -336.743	  -336.743
7	-1.00341e+006	  -379.313	  -404.959	  -404.959	  -404.959
8	-1.00361e+006	  -583.063	  -477.981	  -477.981	  -477.981
9	-1.00358e+006	  -550.563	  -532.161	  -532.161	  -532.161
10	-1.00349e+006	  -460.625	   -579.61	   -579.61	   -579.61
11	-1.00372e+006	  -695.813	  -629.865	  -629.865	  -629.865
12	-1.00382e+006	  -790.063	  -662.402	  -662.402	  -662.402
13	-1.0036e+006	      -569	  -678.689	  -678.689	  -678.689
14	-1.00364e+006	    -614.5	   -716.74	   -716.74	   -716.74
15	-1.00387e+006	  -845.375	  -783.547	  -783.547	  -783.547
16	-1.00397e+006	  -942.875	  -844.091	  -844.091	  -844.091
17	-1.00386e+006	  -826.938	  -892.648	  -892.648	  -892.648
18	-1.00383e+006	  -804.188	  -966.535	  -966.535	  -966.535
19	-1.0042e+006	  -1172.69	  -1073.96	  -1073.96	  -1073.96
20	-1.00429e+006	  -1265.88	  -1178.76	  -1178.76	  -1178.76
21	-1.0042e+006	  -1167.25	   -1270.2	   -1270.2	   -1270.2
22	-1.00436e+006	  -1330.88	  -1368.92	  -1368.92	  -1368.92
23	-1.00461e+006	  -1580.19	  -1465.43	  -1465.43	  -1465.43
24	-1.00462e+006	  -1592.13	   -1527.8	   -1527.8	   -1527.8
25	-1.00453e+006	  -1503.25	  -1557.19	  -1557.19	  -1557.19
26	-1.00461e+006	  -1576.94	  -1582.76	  -1582.76	  -1582.76
27	-1.00465e+006	  -1621.38	  -1624.93	  -1624.93	  -1624.93
28	-1.00464e+006	  -1613.75	  -1693.25	  -1693.25	  -1693.25
29	-1.00481e+006	  -1781.75	  -1787.45	  -1787.45	  -1787.45
30	-1.00498e+006	  -1951.94	  -1889.19	  -1889.19	  -1889.19
31	-1.00499e+006	  -1964.94	  -1980.05	  -1980.05	  -1980.05
32	-1.00509e+006	  -2059.19	  -2056.96	  -2056.96	  -2056.96
33	-1.0052e+006	  -2170.88	  -2118.23	  -2118.23	  -2118.23
34	-1.0052e+006	  -2171.94	  -2161.94	  -2161.94	  -2161.94
35	-1.0052e+006	  -2167.63	  -2200.55	  -2200.55	  -2200.55
36	-1.00524e+006	     -2212	  -2251.99	  -2251.99	  -2251.99
37	-1.00536e+006	  -2333.44	  -2315.92	  -2315.92	  -2315.92
38	-1.00545e+006	  -2425.56	  -2374.11	  -2374.11	  -2374.11
39	-1.00544e+006	  -2409.31	  -2415.59	  -2415.59	  -2415.59
40	-1.00547e+006	  -2442.88	  -2448.31	  -2448.31	  -2448.31
41	-1.0055e+006	     -2470	  -2486.32	  -2486.32	  -2486.32
42	-1.00554e+006	  -2507.94	  -2536.88	  -2536.88	  -2536.88
43	-1.00565e+006	  -2619.56	   -2598.8	   -2598.8	   -2598.8
44	-1.00569e+006	  -2656.38	  -2672.66	  -2672.66	  -2672.66
45	-1.00571e+006	  -2682.38	  -2767.27	  -2767.27	  -2767.27
46	-1.00593e+006	  -2901.31	  -2875.79	  -2875.79	  -2875.79
47	-1.00614e+006	  -3108.31	  -2961.96	  -2961.96	  -2961.96
48	-1.00604e+006	  -3010.81	  -3006.29	  -3006.29	  -3006.29
49	-1.00595e+006	  -2921.94	  -3039.82	  -3039.82	  -3039.82
50	-1.00613e+006	  -3099.69	  -3095.54	  -3095.54	  -3095.54
51	-1.00626e+006	  -3226.44	  -3165.39	  -3165.39	  -3165.39
52	-1.00623e+006	  -3202.63	  -3233.28	  -3233.28	  -3233.28
53	-1.00628e+006	   -3252.5	  -3299.66	  -3299.66	  -3299.66
54	-1.00649e+006	  -3460.56	  -3353.38	  -3353.38	  -3353.38
55	-1.00648e+006	  -3451.88	  -3376.57	  -3376.57	  -3376.57
56	-1.00628e+006	  -3255.75	  -3392.32	  -3392.32	  -3392.32
57	-1.00638e+006	  -3352.19	  -3448.84	  -3448.84	  -3448.84
58	-1.00662e+006	  -3591.69	  -3552.29	  -3552.29	  -3552.29
59	-1.00675e+006	  -3719.63	  -3668.98	  -3668.98	  -3668.98
60	-1.00675e+006	   -3718.5	  -3780.63	  -3780.63	  -3780.63
61	-1.00692e+006	  -3889.75	   -3882.6	   -3882.6	   -3882.6
62	-1.00716e+006	  -4127.13	  -3950.11	  -3950.11	  -3950.11
63	-1.00701e+006	  -3980.81	  -3972.59	  -3972.59	  -3972.59
64	-1.00684e+006	  -3807.38	  -3996.86	  -3996.86	  -3996.86
65	-1.00706e+006	     -4035	  -4066.53	  -4066.53	  -4066.53
66	-1.00733e+006	  -4297.25	  -4154.14	  -4154.14	  -4154.14
67	-1.00729e+006	   -4261.5	  -4217.33	  -4217.33	  -4217.33
68	-1.00714e+006	  -4116.25	  -4275.28	  -4275.28	  -4275.28
69	-1.00735e+006	  -4321.13	   -4365.6	   -4365.6	   -4365.6
70	-1.00765e+006	  -4620.25	  -4473.85	  -4473.85	  -4473.85
71	-1.00756e+006	     -4527	  -4569.47	  -4569.47	  -4569.47
72	-1.00762e+006	  -4595.31	  -4656.66	  -4656.66	  -4656.66
73	-1.00786e+006	  -4827.25	  -4741.51	  -4741.51	  -4741.51
74	-1.00786e+006	  -4833.75	  -4811.94	  -4811.94	  -4811.94
75	-1.00786e+006	  -4829.44	  -4868.85	  -4868.85	  -4868.85
76	-1.00795e+006	  -4918.25	  -4923.54	  -4923.54	  -4923.54
77	-1.00807e+006	  -5039.69	   -4972.8	   -4972.8	   -4972.8
78	-1.00803e+006	  -5002.81	   -5015.6	   -5015.6	   -5015.6
79	-1.00798e+006	  -4955.13	  -5073.08	  -5073.08	  -5073.08
80	-1.00822e+006	  -5189.25	  -5157.33	  -5157.33	  -5157.33
81	-1.00833e+006	  -5304.13	  -5249.74	  -5249.74	  -5249.74
82	-1.00833e+006	  -5299.75	  -5336.64	  -5336.64	  -5336.64
83	-1.00842e+006	  -5395.13	  -5427.61	  -5427.61	  -5427.61
84	-1.00857e+006	  -5538.19	  -5524.37	  -5524.37	  -5524.37
85	-1.00871e+006	  -5685.63	   -5606.5	   -5606.5	   -5606.5
86	-1.00871e+006	  -5676.94	  -5659.87	  -5659.87	  -5659.87
87	-1.00868e+006	  -5655.25	  -5697.07	  -5697.07	  -5697.07
88	-1.00877e+006	  -5738.69	  -5738.23	  -5738.23	  -5738.23
89	-1.00883e+006	  -5797.25	  -5793.29	  -5793.29	  -5793.29
90	-1.00882e+006	  -5791.81	  -5871.55	  -5871.55	  -5871.55
91	-1.00898e+006	  -5946.81	  -5976.97	  -5976.97	  -5976.97
92	-1.0092e+006	   -6175.5	   -6088.1	   -6088.1	   -6088.1
93	-1.00924e+006	     -6208	  -6175.96	  -6175.96	  -6175.96
94	-1.00925e+006	  -6225.31	  -6238.86	  -6238.86	  -6238.86
95	-1.00931e+006	  -6277.38	   -6294.4	   -6294.4	   -6294.4
96	-1.00939e+006	  -6366.25	  -6348.97	  -6348.97	  -6348.97
97	-1.00946e+006	  -6429.13	   -6393.9	   -6393.9	   -6393.9
98	-1.00946e+006	  -6429.13	  -6424.92	  -6424.92	  -6424.92
99	-1.00946e+006	  -6429.13	  -6453.03	  -6453.03	  -6453.03
100	-1.00949e+006	  -6462.69	  -6494.52	  -6494.52	  -6494.52
101	-1.00957e+006	  -6540.75	  -6557.21	  -6557.21	  -6557.21
102	-1.00966e+006	  -6631.75	  -6640.28	  -6640.28	  -6640.28
103	-1.00974e+006	  -6708.69	  -6742.22	  -6742.22	  -6742.22
104	-1.00987e+006	  -6837.69	  -6856.32	  -6856.32	  -6856.32
105	-1.01008e+006	  -7047.94	  -6959.19	  -6959.19	  -6959.19
106	-1.01012e+006	  -7094.56	  -7027.25	  -7027.25	  -7027.25
107	-1.01003e+006	  -7004.63	  -7068.41	  -7068.41	  -7068.41
108	-1.01013e+006	  -7096.69	  -7110.38	  -7110.38	  -7110.38
109	-1.01022e+006	  -7186.69	  -7166.17	  -7166.17	  -7166.17
110	-1.01021e+006	  -7181.25	  -7235.08	  -7235.08	  -7235.08
111	-1.01034e+006	  -7315.63	  -7309.57	  -7309.57	  -7309.57
112	-1.0105e+006	  -7466.31	  -7367.27	  -7367.27	  -7367.27
113	-1.01045e+006	  -7426.19	  -7393.63	  -7393.63	  -7393.63
114	-1.01034e+006	  -7310.25	  -7411.99	  -7411.99	  -7411.99
115	-1.01045e+006	  -7418.63	  -7456.08	  -7456.08	  -7456.08
116	-1.01059e+006	  -7561.69	  -7526.55	  -7526.55	  -7526.55
117	-1.01063e+006	  -7601.75	  -7603.35	  -7603.35	  -7603.35
118	-1.01069e+006	  -7660.31	  -7674.94	  -7674.94	  -7674.94
119	-1.01081e+006	  -7780.63	  -7732.21	  -7732.21	  -7732.21
120	-1.01086e+006	  -7835.88	  -7765.68	  -7765.68	  -7765.68
121	-1.01074e+006	   -7714.5	  -7790.86	  -7790.86	  -7790.86
122	-1.01077e+006	   -7740.5	  -7844.03	  -7844.03	  -7844.03
123	-1.011e+006	  -7970.25	  -7936.37	  -7936.37	  -7936.37
124	-1.0111e+006	  -8066.69	   -8046.1	   -8046.1	   -8046.1
125	-1.01114e+006	     -8109	  -8154.38	  -8154.38	  -8154.38
126	-1.01135e+006	  -8320.31	   -8251.1	   -8251.1	   -8251.1
127	-1.0114e+006	  -8373.44	  -8328.05	  -8328.05	  -8328.05
128	-1.01135e+006	   -8322.5	  -8396.76	  -8396.76	  -8396.76
129	-1.01147e+006	  -8439.56	  -8478.45	  -8478.45	  -8478.45
130	-1.01166e+006	  -8635.69	  -8566.46	  -8566.46	  -8566.46
131	-1.01173e+006	  -8701.81	  -8638.86	  -8638.86	  -8638.86
132	-1.01162e+006	  -8595.63	  -8701.51	  -8701.51	  -8701.51
133	-1.0118e+006	  -8770.13	  -8772.68	  -8772.68	  -8772.68
134	-1.01197e+006	  -8945.69	  -8842.06	  -8842.06	  -8842.06
135	-1.0119e+006	  -8868.75	  -8893.81	  -8893.81	  -8893.81
136	-1.01193e+006	     -8898	  -8940.84	  -8940.84	  -8940.84
137	-1.01202e+006	  -8993.38	  -9000.75	  -9000.75	  -9000.75
138	-1.01212e+006	  -9089.81	  -9070.64	  -9070.64	  -9070.64
139	-1.01217e+006	  -9139.69	  -9140.77	  -9140.77	  -9140.77
140	-1.01222e+006	  -9188.44	     -9207	     -9207	     -9207
141	-1.01235e+006	  -9323.94	  -9263.14	  -9263.14	  -9263.14
142	-1.01234e+006	  -9313.06	  -9304.71	  -9304.71	  -9304.71
143	-1.01232e+006	  -9294.69	  -9344.73	  -9344.73	  -9344.73
144	-1.01241e+006	  -9377.06	   -9404.6	   -9404.6	   -9404.6
145	-1.01248e+006	  -9456.13	  -9489.35	  -9489.35	  -9489.35
146	-1.01265e+006	     -9622	  -9579.92	  -9579.92	  -9579.92
147	-1.01276e+006	  -9731.44	  -9652.51	  -9652.51	  -9652.51
148	-1.01269e+006	  -9659.88	  -9714.25	  -9714.25	  -9714.25
149	-1.01269e+006	     -9661	  -9799.56	  -9799.56	  -9799.56
150	-1.01301e+006	  -9979.63	  -9908.25	  -9908.25	  -9908.25
151	-1.01319e+006	  -10159.6	  -9987.73	  -9987.73	  -9987.73
152	-1.01306e+006	  -10027.3	  -10012.3	  -10012.3	  -10012.3
153	-1.01289e+006	  -9858.25	  -10031.4	  -10031.4	  -10031.4
154	-1.01306e+006	  -10032.8	  -10097.5	  -10097.5	  -10097.5
155	-1.01335e+006	  -10322.1	  -10189.8	  -10189.8	  -10189.8
156	-1.01335e+006	  -10319.9	  -10260.5	  -10260.5	  -10260.5
157	-1.01323e+006	  -10201.8	  -10312.2	  -10312.2	  -10312.2
158	-1.01339e+006	  -10357.9	  -10375.4	  -10375.4	  -10375.4
159	-1.01355e+006	  -10524.8	  -10447.1	  -10447.1	  -10447.1
160	-1.01354e+006	  -10512.9	  -10509.2	  -10509.2	  -10509.2
161	-1.01354e+006	  -10510.7	  -10573.4	  -10573.4	  -10573.4
162	-1.01363e+006	  -10600.6	  -10664.3	  -10664.3	  -10664.3
163	-1.01385e+006	  -10818.5	  -10777.8	  -10777.8	  -10777.8
164	-1.01397e+006	  -10936.6	  -10886.1	  -10886.1	  -10886.1
165	-1.01399e+006	  -10964.8	  -10972.2	  -10972.2	  -10972.2
166	-1.01409e+006	  -11061.3	    -11039	    -11039	    -11039
167	-1.01414e+006	    -11110	    -11093	    -11093	    -11093
168	-1.01415e+006	  -11123.1	  -11142.7	  -11142.7	  -11142.7
169	-1.0142e+006	  -11175.1	  -11199.5	  -11199.5	  -11199.5
170	-1.0143e+006	  -11267.2	    -11268	    -11268	    -11268
171	-1.01438e+006	  -11349.6	  -11345.2	  -11345.2	  -11345.2
172	-1.01443e+006	  -11405.9	  -11429.9	  -11429.9	  -11429.9
173	-1.01454e+006	  -11511.1	  -11522.3	  -11522.3	  -11522.3
174	-1.01467e+006	  -11638.9	  -11612.8	  -11612.8	  -11612.8
175	-1.01477e+006	  -11744.1	  -11684.5	  -11684.5	  -11684.5
176	-1.01477e+006	  -11739.7	    -11736	    -11736	    -11736
177	-1.01473e+006	  -11703.9	  -11787.3	  -11787.3	  -11787.3
178	-1.0149e+006	  -11874.1	  -11849.1	  -11849.1	  -11849.1
179	-1.01502e+006	  -11991.2	  -11906.1	  -11906.1	  -11906.1
180	-1.01493e+006	  -11902.3	    -11955	    -11955	    -11955
181	-1.01495e+006	  -11917.4	  -12019.3	  -12019.3	  -12019.3
182	-1.01519e+006	  -12159.1	  -12102.1	  -12102.1	  -12102.1
183	-1.01532e+006	  -12289.2	  -12172.5	  -12172.5	  -12172.5
184	-1.01517e+006	  -12139.6	  -12224.5	  -12224.5	  -12224.5
185	-1.01523e+006	  -12201.4	  -12290.3	  -12290.3	  -12290.3
186	-1.01546e+006	  -12434.4	  -12377.8	  -12377.8	  -12377.8
187	-1.01556e+006	  -12534.1	  -12455.2	  -12455.2	  -12455.2
188	-1.01552e+006	  -12491.9	  -12503.5	  -12503.5	  -12503.5
189	-1.01554e+006	  -12515.7	  -12534.7	  -12534.7	  -12534.7
190	-1.01561e+006	  -12585.1	  -12559.1	  -12559.1	  -12559.1
191	-1.01565e+006	  -12621.9	  -12575.3	  -12575.3	  -12575.3
192	-1.01553e+006	  -12501.6	  -12586.8	  -12586.8	  -12586.8
193	-1.01566e+006	  -12629.5	  -12568.9	  -12568.9	  -12568.9
194	-1.01575e+006	  -12721.6	  -12362.9	  -12362.9	  -12362.9
195	-1.0157e+006	  -12672.9	  -11571.2	  -11571.2	  -11571.2
196	-1.01486e+006	    -11834	  -9623.73	  -9623.73	  -9623.73
197	-1.01098e+006	   -7947.5	  -6174.26	  -6174.26	  -6174.26
198	-1.00478e+006	   -1752.5	   -1576.7	   -1576.7	   -1576.7
199	   -998206	   4822.94	   3173.59	   3173.59	   3173.59
200	   -994466	   8563.13	   7113.23	   7113.23	   7113.23
201	   -992207	   10821.8	   9868.27	   9868.27	   9868.27
202	   -990614	   12414.9	     11578	     11578	     11578
203	   -990128	   12900.5	   12571.7	   12571.7	   12571.7
204	   -989949	   13079.3	   13205.7	   13205.7	   13205.7
205	   -989397	   13632.1	   13750.6	   13750.6	   13750.6
206	   -988562	   14466.6	   14306.5	   14306.5	   14306.5
207	   -988211	   14817.7	   14886.6	   14886.6	   14886.6
208	   -987799	   15229.6	   15536.6	   15536.6	   15536.6
209	   -986745	   16284.1	   16284.6	   16284.6	   16284.6
210	   -985810	   17218.3	   17060.1	   17060.1	   17060.1
211	   -985120	   17908.7	   17750.4	   17750.4	   17750.4
212	   -984545	   18484.2	   18284.9	   18284.9	   18284.9
213	   -984187	   18841.9	   18647.3	   18647.3	   18647.3
214	   -984112	   18916.6	   18864.5	   18864.5	   18864.5
215	   -984017	     19012	     18981	     18981	     18981
216	   -983874	   19155.1	   19020.8	   19020.8	   19020.8
217	   -983967	   19061.9	   18999.4	   18999.4	   18999.4
218	   -984209	   18820.2	   18970.2	   18970.2	   18970.2
219	   -984198	     18831	     18996	     18996	     18996
220	   -983829	   19199.5	   19068.6	   19068.6	   19068.6
221	   -983776	   19252.6	   19124.9	   19124.9	   19124.9
222	   -983987	   19041.3	   19142.5	   19142.5	   19142.5
223	   -983887	   19142.1	   19140.5	   19140.5	   19140.5
224	   -983749	   19279.8	   19111.8	   19111.8	   19111.8
225	   -983987	   19041.3	   19044.4	   19044.4	   19044.4
226	   -984209	   18820.2	   18970.6	   18970.6	   18970.6
227	   -984069	     18960	     18918	     18918	     18918
228	   -984063	   18965.4	   18864.3	   18864.3	   18864.3
229	   -984264	   18764.9	     18787	     18787	     18787
230	   -984384	   18644.6	   18700.8	   18700.8	   18700.8
231	   -984371	   18657.6	   18619.6	   18619.6	   18619.6
232	   -984460	   18568.8	   18538.3	   18538.3	   18538.3
233	   -984633	   18395.3	   18460.6	   18460.6	   18460.6
234	   -984673	   18355.3	   18397.1	   18397.1	   18397.1
235	   -984589	   18439.8	   18335.7	   18335.7	   18335.7
236	   -984753	   18276.1	     18261	     18261	     18261
237	   -984982	   18046.4	   18189.4	   18189.4	   18189.4
238	   -984844	   18185.1	   18133.9	   18133.9	   18133.9
239	   -984837	   18191.6	   18071.3	   18071.3	   18071.3
