Data	etched_(Thermal_SiO2)_20sec
Recipe	SINGH
Site Name	
Points	1646
X-Resolution	0.400000
X-Coord	7943.86
Y-Coord	-4734.35
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	   -397955	         0	  -2.80652	  -2.80652	  -2.80652
2	   -397988	     -32.5	  -33.7715	  -33.7715	  -33.7715
3	   -398028	  -72.5938	   -64.304	   -64.304	   -64.304
4	   -398041	   -85.625	  -96.2832	  -96.2832	  -96.2832
5	   -398071	  -115.969	  -132.393	  -132.393	  -132.393
6	   -398144	  -188.563	  -169.826	  -169.826	  -169.826
7	   -398182	    -226.5	  -201.904	  -201.904	  -201.904
8	   -398155	  -199.406	  -228.883	  -228.883	  -228.883
9	   -398215	  -260.094	  -255.365	  -255.365	  -255.365
10	   -398263	  -307.781	  -279.988	  -279.988	  -279.988
11	   -398242	  -287.188	  -302.788	  -302.788	  -302.788
12	   -398252	  -296.969	  -332.017	  -332.017	  -332.017
13	   -398321	  -366.313	  -367.307	  -367.307	  -367.307
14	   -398446	  -490.969	  -392.132	  -392.132	  -392.132
15	   -398328	  -372.813	  -405.909	  -405.909	  -405.909
16	   -398239	  -283.938	  -438.112	  -438.112	  -438.112
17	   -398523	  -567.906	  -493.861	  -493.861	  -493.861
18	   -398636	  -680.625	  -529.613	  -529.613	  -529.613
19	   -398457	  -501.781	  -526.175	  -526.175	  -526.175
20	   -398325	  -369.563	  -527.499	  -527.499	  -527.499
21	   -398518	    -562.5	  -566.875	  -566.875	  -566.875
22	   -398703	  -747.813	  -612.911	  -612.911	  -612.911
23	   -398615	  -660.031	    -629.8	    -629.8	    -629.8
24	   -398459	  -503.969	  -638.736	  -638.736	  -638.736
25	   -398600	  -644.844	  -671.854	  -671.854	  -671.854
26	   -398803	  -847.531	   -711.81	   -711.81	   -711.81
27	   -398681	  -726.125	  -730.547	  -730.547	  -730.547
28	   -398604	  -649.188	  -742.695	  -742.695	  -742.695
29	   -398731	      -776	  -771.357	  -771.357	  -771.357
30	   -398829	  -873.531	  -807.651	  -807.651	  -807.651
31	   -398760	   -805.25	  -838.724	  -838.724	  -838.724
32	   -398782	  -826.938	  -869.931	  -869.931	  -869.931
33	   -398931	  -975.406	  -900.862	  -900.862	  -900.862
34	   -398886	  -930.969	   -924.98	   -924.98	   -924.98
35	   -398807	  -851.875	  -952.402	  -952.402	  -952.402
36	   -398996	  -1040.44	   -988.66	   -988.66	   -988.66
37	   -399052	  -1096.81	  -1015.09	  -1015.09	  -1015.09
38	   -398929	  -974.344	  -1026.15	  -1026.15	  -1026.15
39	   -398936	  -980.844	   -1044.3	   -1044.3	   -1044.3
40	   -399064	  -1108.72	  -1077.43	  -1077.43	  -1077.43
41	   -399128	  -1172.66	  -1106.61	  -1106.61	  -1106.61
42	   -399040	  -1084.88	  -1126.57	  -1126.57	  -1126.57
43	   -399036	  -1080.53	  -1155.46	  -1155.46	  -1155.46
44	   -399212	  -1257.19	  -1194.38	  -1194.38	  -1194.38
45	   -399247	  -1291.88	  -1221.49	  -1221.49	  -1221.49
46	   -399125	  -1169.41	  -1237.17	  -1237.17	  -1237.17
47	   -399149	  -1194.34	   -1266.9	   -1266.9	   -1266.9
48	   -399328	  -1373.16	  -1311.57	  -1311.57	  -1311.57
49	   -399373	  -1417.59	  -1343.93	  -1343.93	  -1343.93
50	   -399268	  -1312.47	  -1358.99	  -1358.99	  -1358.99
51	   -399258	  -1302.72	  -1379.42	  -1379.42	  -1379.42
52	   -399444	  -1489.13	  -1407.81	  -1407.81	  -1407.81
53	   -399438	  -1482.63	  -1425.89	  -1425.89	  -1425.89
54	   -399280	  -1324.41	   -1441.6	   -1441.6	   -1441.6
55	   -399397	  -1441.44	  -1476.44	  -1476.44	  -1476.44
56	   -399593	  -1637.63	  -1514.45	  -1514.45	  -1514.45
57	   -399521	  -1566.09	  -1528.53	  -1528.53	  -1528.53
58	   -399374	  -1418.69	  -1539.62	  -1539.62	  -1539.62
59	   -399445	  -1490.22	  -1586.17	  -1586.17	  -1586.17
60	   -399735	  -1779.59	  -1651.36	  -1651.36	  -1651.36
61	   -399757	  -1802.34	  -1683.81	  -1683.81	  -1683.81
62	   -399552	  -1596.44	  -1682.99	  -1682.99	  -1682.99
63	   -399531	  -1575.84	  -1698.36	  -1698.36	  -1698.36
64	   -399750	  -1794.78	  -1743.44	  -1743.44	  -1743.44
65	   -399876	   -1920.5	  -1778.39	  -1778.39	  -1778.39
66	   -399677	  -1722.16	  -1788.16	  -1788.16	  -1788.16
67	   -399634	  -1678.81	  -1808.99	  -1808.99	  -1808.99
68	   -399872	  -1917.25	  -1856.75	  -1856.75	  -1856.75
69	   -399953	  -1997.44	  -1898.63	  -1898.63	  -1898.63
70	   -399843	  -1887.97	  -1917.51	  -1917.51	  -1917.51
71	   -399794	  -1839.19	  -1939.73	  -1939.73	  -1939.73
72	   -399969	  -2013.69	  -1980.68	  -1980.68	  -1980.68
73	   -400064	  -2109.06	   -2019.1	   -2019.1	   -2019.1
74	   -399946	  -1990.94	   -2042.7	   -2042.7	   -2042.7
75	   -399973	  -2018.03	  -2067.22	  -2067.22	  -2067.22
76	   -400116	  -2161.09	   -2098.6	   -2098.6	   -2098.6
77	   -400087	  -2131.84	  -2126.49	  -2126.49	  -2126.49
78	   -400058	  -2102.56	     -2152	     -2152	     -2152
79	   -400152	  -2196.84	  -2180.14	  -2180.14	  -2180.14
80	   -400214	  -2258.63	  -2202.35	  -2202.35	  -2202.35
81	   -400147	  -2191.44	  -2216.76	  -2216.76	  -2216.76
82	   -400127	  -2171.94	  -2241.68	  -2241.68	  -2241.68
83	   -400243	  -2287.91	  -2285.76	  -2285.76	  -2285.76
84	   -400356	  -2400.63	   -2328.2	   -2328.2	   -2328.2
85	   -400334	  -2378.94	  -2349.43	  -2349.43	  -2349.43
86	   -400246	  -2291.16	  -2361.58	  -2361.58	  -2361.58
87	   -400315	  -2359.44	   -2384.9	   -2384.9	   -2384.9
88	   -400453	  -2498.16	  -2415.26	  -2415.26	  -2415.26
89	   -400356	  -2400.63	  -2444.46	  -2444.46	  -2444.46
90	   -400367	  -2411.44	  -2481.25	  -2481.25	  -2481.25
91	   -400556	  -2601.13	  -2520.93	  -2520.93	  -2520.93
