Data	etched_(Thermal_SiO2)_20sec_3
Recipe	SINGH
Site Name	
Points	476
X-Resolution	0.400000
X-Coord	13274.38
Y-Coord	-727.95
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	-1.09876e+006	         0	   49.9594	   49.9594	   49.9594
2	-1.09873e+006	    31.375	   48.1899	   48.1899	   48.1899
3	-1.09864e+006	    119.25	   45.3315	   45.3315	   45.3315
4	-1.09871e+006	    50.875	   22.4489	   22.4489	   22.4489
5	-1.09883e+006	    -67.25	  -13.6088	  -13.6088	  -13.6088
6	-1.09881e+006	   -49.875	   -45.607	   -45.607	   -45.607
7	-1.0988e+006	   -33.625	  -72.1727	  -72.1727	  -72.1727
8	-1.0989e+006	  -134.375	  -97.4937	  -97.4937	  -97.4937
9	-1.09889e+006	   -125.75	  -119.259	  -119.259	  -119.259
10	-1.09888e+006	  -113.875	  -140.564	  -140.564	  -140.564
11	-1.09892e+006	  -160.375	  -171.535	  -171.535	  -171.535
12	-1.09895e+006	  -185.375	  -213.959	  -213.959	  -213.959
13	-1.09908e+006	  -314.375	  -254.583	  -254.583	  -254.583
14	-1.09908e+006	  -315.375	  -282.272	  -282.272	  -282.272
15	-1.09897e+006	   -209.25	  -308.173	  -308.173	  -308.173
16	-1.09913e+006	  -364.125	  -344.186	  -344.186	  -344.186
17	-1.09922e+006	  -460.625	  -376.362	  -376.362	  -376.362
18	-1.09913e+006	   -371.75	   -395.25	   -395.25	   -395.25
19	-1.09909e+006	  -325.125	  -419.813	  -419.813	  -419.813
20	-1.09927e+006	  -502.875	  -458.728	  -458.728	  -458.728
21	-1.09934e+006	  -576.625	   -490.66	   -490.66	   -490.66
22	-1.09921e+006	   -448.75	  -506.721	  -506.721	  -506.721
23	-1.09925e+006	  -489.875	  -526.353	  -526.353	  -526.353
24	-1.09934e+006	   -578.75	  -559.931	  -559.931	  -559.931
25	-1.09937e+006	  -605.875	  -595.992	  -595.992	  -595.992
26	-1.09941e+006	   -650.25	  -626.047	  -626.047	  -626.047
27	-1.09937e+006	   -603.75	  -658.061	  -658.061	  -658.061
28	-1.09945e+006	  -682.875	  -699.576	  -699.576	  -699.576
29	-1.09958e+006	   -817.25	  -737.169	  -737.169	  -737.169
30	-1.09954e+006	      -775	  -753.989	  -753.989	  -753.989
31	-1.09948e+006	  -716.375	  -761.308	  -761.308	  -761.308
32	-1.09949e+006	    -730.5	  -786.592	  -786.592	  -786.592
33	-1.09959e+006	   -824.75	  -833.897	  -833.897	  -833.897
34	-1.09974e+006	  -977.625	  -874.964	  -874.964	  -874.964
35	-1.09968e+006	  -915.875	  -888.663	  -888.663	  -888.663
36	-1.09956e+006	   -797.75	  -894.192	  -894.192	  -894.192
37	-1.09966e+006	  -893.125	  -919.936	  -919.936	  -919.936
38	-1.09978e+006	  -1018.75	  -959.249	  -959.249	  -959.249
39	-1.09978e+006	  -1018.75	  -989.412	  -989.412	  -989.412
40	-1.09972e+006	   -953.75	  -1010.58	  -1010.58	  -1010.58
41	-1.09981e+006	  -1044.75	  -1035.35	  -1035.35	  -1035.35
42	-1.09985e+006	  -1089.25	  -1062.69	  -1062.69	  -1062.69
43	-1.09983e+006	  -1068.63	   -1085.2	   -1085.2	   -1085.2
44	-1.09989e+006	  -1122.88	  -1101.57	  -1101.57	  -1101.57
45	-1.09988e+006	   -1118.5	  -1116.13	  -1116.13	  -1116.13
46	-1.09985e+006	     -1086	     -1139	     -1139	     -1139
47	-1.09993e+006	  -1166.25	  -1174.55	  -1174.55	  -1174.55
48	-1.10004e+006	  -1276.75	  -1208.36	  -1208.36	  -1208.36
49	 -1.1e+006	  -1239.88	  -1228.15	  -1228.15	  -1228.15
50	-1.09994e+006	  -1172.75	  -1248.27	  -1248.27	  -1248.27
51	-1.10002e+006	  -1256.13	  -1284.82	  -1284.82	  -1284.82
52	-1.10019e+006	  -1425.25	  -1322.24	  -1322.24	  -1322.24
53	-1.10013e+006	  -1362.38	  -1340.86	  -1340.86	  -1340.86
54	-1.10001e+006	  -1243.13	  -1356.61	  -1356.61	  -1356.61
55	-1.10015e+006	   -1390.5	  -1390.33	  -1390.33	  -1390.33
56	-1.10029e+006	  -1530.38	   -1427.5	   -1427.5	   -1427.5
57	-1.10018e+006	  -1414.38	  -1451.36	  -1451.36	  -1451.36
58	-1.10018e+006	  -1418.75	  -1475.62	  -1475.62	  -1475.62
59	-1.1003e+006	     -1538	  -1513.42	  -1513.42	  -1513.42
60	-1.10032e+006	  -1561.75	  -1553.66	  -1553.66	  -1553.66
61	-1.10038e+006	  -1620.25	  -1580.81	  -1580.81	  -1580.81
62	-1.10036e+006	  -1595.38	  -1595.77	  -1595.77	  -1595.77
63	-1.10031e+006	     -1552	  -1614.83	  -1614.83	  -1614.83
64	-1.10042e+006	  -1653.88	  -1646.51	  -1646.51	  -1646.51
65	-1.10049e+006	  -1727.63	  -1676.39	  -1676.39	  -1676.39
66	-1.10048e+006	  -1718.88	  -1690.56	  -1690.56	  -1690.56
67	-1.1004e+006	  -1633.25	  -1701.18	  -1701.18	  -1701.18
68	-1.10045e+006	  -1690.75	  -1726.79	  -1726.79	  -1726.79
69	-1.1006e+006	     -1836	  -1759.71	  -1759.71	  -1759.71
70	-1.10056e+006	     -1797	  -1783.97	  -1783.97	  -1783.97
71	-1.10049e+006	  -1728.63	  -1810.99	  -1810.99	  -1810.99
72	-1.10058e+006	  -1821.88	  -1858.98	  -1858.98	  -1858.98
73	-1.10076e+006	  -2001.75	  -1912.27	  -1912.27	  -1912.27
74	-1.10076e+006	  -1999.63	  -1941.52	  -1941.52	  -1941.52
75	-1.10065e+006	  -1886.88	  -1951.94	  -1951.94	  -1951.94
76	-1.10068e+006	  -1919.38	  -1971.65	  -1971.65	  -1971.65
77	-1.10083e+006	  -2063.63	  -2004.57	  -2004.57	  -2004.57
78	-1.10082e+006	  -2052.75	  -2034.37	  -2034.37	  -2034.37
79	-1.10077e+006	   -2011.5	  -2061.51	  -2061.51	  -2061.51
80	-1.10084e+006	  -2078.75	  -2097.56	  -2097.56	  -2097.56
81	-1.10094e+006	  -2181.75	  -2135.45	  -2135.45	  -2135.45
82	-1.10097e+006	  -2208.75	  -2158.45	  -2158.45	  -2158.45
83	-1.10088e+006	  -2113.38	  -2171.82	  -2171.82	  -2171.82
84	-1.10092e+006	  -2156.75	  -2196.95	  -2196.95	  -2196.95
85	-1.10103e+006	  -2267.38	  -2237.14	  -2237.14	  -2237.14
86	-1.10105e+006	  -2290.13	  -2274.09	  -2274.09	  -2274.09
87	-1.10109e+006	  -2329.13	   -2292.5	   -2292.5	   -2292.5
88	-1.10106e+006	     -2302	  -2295.15	  -2295.15	  -2295.15
89	-1.10101e+006	  -2246.75	  -2302.24	  -2302.24	  -2302.24
90	-1.10105e+006	   -2282.5	  -2332.21	  -2332.21	  -2332.21
91	-1.10119e+006	  -2422.38	  -2377.88	  -2377.88	  -2377.88
92	-1.10123e+006	   -2463.5	  -2416.97	  -2416.97	  -2416.97
93	-1.10117e+006	  -2403.88	  -2446.37	  -2446.37	  -2446.37
94	-1.10121e+006	     -2444	  -2480.35	  -2480.35	  -2480.35
95	-1.10133e+006	   -2567.5	  -2516.75	  -2516.75	  -2516.75
96	-1.10135e+006	  -2589.25	  -2537.35	  -2537.35	  -2537.35
97	-1.10128e+006	     -2521	  -2544.28	  -2544.28	  -2544.28
98	-1.10123e+006	  -2468.88	  -2564.86	  -2564.86	  -2564.86
99	-1.10137e+006	     -2612	  -2607.18	  -2607.18	  -2607.18
100	-1.10155e+006	  -2785.38	     -2640	     -2640	     -2640
101	-1.10138e+006	  -2621.75	   -2645.5	   -2645.5	   -2645.5
102	-1.10129e+006	   -2527.5	  -2656.97	  -2656.97	  -2656.97
103	-1.10144e+006	  -2674.88	  -2703.24	  -2703.24	  -2703.24
104	-1.10165e+006	  -2891.63	  -2756.92	  -2756.92	  -2756.92
105	-1.10159e+006	  -2823.38	  -2784.16	  -2784.16	  -2784.16
106	-1.10141e+006	  -2649.88	  -2803.65	  -2803.65	  -2803.65
107	-1.10162e+006	  -2855.88	  -2843.31	  -2843.31	  -2843.31
108	-1.10177e+006	  -3008.63	  -2884.21	  -2884.21	  -2884.21
109	-1.10164e+006	  -2879.63	  -2903.29	  -2903.29	  -2903.29
110	-1.1016e+006	  -2836.38	  -2918.34	  -2918.34	  -2918.34
111	-1.10173e+006	   -2967.5	  -2948.19	  -2948.19	  -2948.19
112	-1.1018e+006	  -3036.88	   -2979.9	   -2979.9	   -2979.9
113	-1.10175e+006	     -2988	  -3001.16	  -3001.16	  -3001.16
114	-1.10174e+006	     -2975	  -3023.27	  -3023.27	  -3023.27
115	-1.10182e+006	  -3054.13	  -3053.87	  -3053.87	  -3053.87
116	-1.10192e+006	  -3159.25	  -3077.58	  -3077.58	  -3077.58
117	-1.10185e+006	   -3084.5	  -3085.28	  -3085.28	  -3085.28
118	-1.10176e+006	     -3000	  -3099.82	  -3099.82	  -3099.82
119	-1.10188e+006	  -3114.88	  -3143.02	  -3143.02	  -3143.02
120	-1.10203e+006	  -3270.88	  -3196.43	  -3196.43	  -3196.43
121	-1.10206e+006	  -3300.25	  -3228.06	  -3228.06	  -3228.06
122	-1.10193e+006	  -3163.63	  -3242.57	  -3242.57	  -3242.57
123	-1.10197e+006	  -3210.25	  -3267.17	  -3267.17	  -3267.17
124	-1.10216e+006	  -3393.38	  -3300.59	  -3300.59	  -3300.59
125	-1.10211e+006	     -3349	  -3324.17	  -3324.17	  -3324.17
126	-1.10201e+006	  -3242.75	  -3347.67	  -3347.67	  -3347.67
127	-1.10214e+006	  -3373.88	  -3388.47	  -3388.47	  -3388.47
128	-1.10231e+006	  -3545.13	  -3428.54	  -3428.54	  -3428.54
129	-1.10222e+006	  -3457.38	  -3445.18	  -3445.18	  -3445.18
130	-1.10212e+006	  -3352.25	  -3454.94	  -3454.94	  -3454.94
131	-1.10226e+006	  -3493.13	  -3482.25	  -3482.25	  -3482.25
132	-1.10232e+006	  -3559.25	  -3519.46	  -3519.46	  -3519.46
133	-1.10231e+006	  -3547.25	  -3548.48	  -3548.48	  -3548.48
134	-1.10234e+006	  -3573.38	  -3568.95	  -3568.95	  -3568.95
135	-1.10233e+006	  -3571.13	  -3592.58	  -3592.58	  -3592.58
136	-1.10235e+006	  -3590.63	  -3626.32	  -3626.32	  -3626.32
137	-1.10248e+006	  -3716.38	  -3660.12	  -3660.12	  -3660.12
138	-1.10249e+006	     -3725	  -3677.45	  -3677.45	  -3677.45
139	-1.1024e+006	  -3635.13	  -3684.15	  -3684.15	  -3684.15
140	-1.10241e+006	  -3645.88	  -3704.95	  -3704.95	  -3704.95
141	-1.10252e+006	  -3760.75	   -3746.5	   -3746.5	   -3746.5
142	-1.1026e+006	     -3841	   -3789.3	   -3789.3	   -3789.3
143	-1.10257e+006	  -3810.63	  -3819.01	  -3819.01	  -3819.01
144	-1.10259e+006	  -3829.13	  -3843.12	  -3843.12	  -3843.12
145	-1.10262e+006	  -3856.13	  -3874.37	  -3874.37	  -3874.37
146	-1.10267e+006	  -3908.25	  -3912.98	  -3912.98	  -3912.98
147	-1.10276e+006	  -3997.13	  -3947.72	  -3947.72	  -3947.72
148	-1.10273e+006	  -3964.63	  -3972.18	  -3972.18	  -3972.18
149	-1.10272e+006	  -3961.38	  -3992.55	  -3992.55	  -3992.55
150	-1.10281e+006	  -4042.63	   -4011.9	   -4011.9	   -4011.9
151	-1.10282e+006	  -4057.75	  -4025.97	  -4025.97	  -4025.97
152	-1.10275e+006	  -3984.13	  -4043.42	  -4043.42	  -4043.42
153	-1.10278e+006	   -4015.5	  -4080.48	  -4080.48	  -4080.48
154	-1.10296e+006	  -4201.88	  -4125.93	  -4125.93	  -4125.93
155	-1.10301e+006	  -4249.63	  -4150.68	  -4150.68	  -4150.68
156	-1.10282e+006	  -4053.38	   -4161.9	   -4161.9	   -4161.9
157	-1.10286e+006	  -4095.75	  -4195.49	  -4195.49	  -4195.49
158	-1.10313e+006	  -4365.63	  -4248.49	  -4248.49	  -4248.49
