Data	etched_(Thermal_SiO2+PR)_20sec
Recipe	SINGH
Site Name	
Points	646
X-Resolution	0.400000
X-Coord	-2722.61
Y-Coord	201.60
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	1.58591e+006	         0	    99.931	    99.931	    99.931
2	1.58612e+006	   204.875	   133.012	   133.012	   133.012
3	1.58613e+006	   217.875	   158.439	   158.439	   158.439
4	1.58601e+006	     99.75	   174.818	   174.818	   174.818
5	1.58607e+006	     161.5	   200.945	   200.945	   200.945
6	1.58622e+006	   311.125	   234.204	   234.204	   234.204
7	1.58618e+006	   273.125	   257.556	   257.556	   257.556
8	1.58612e+006	   208.125	    275.33	    275.33	    275.33
9	1.58623e+006	     316.5	   300.827	   300.827	   300.827
10	1.58627e+006	   360.875	    332.22	    332.22	    332.22
11	1.58623e+006	   320.875	   366.528	   366.528	   366.528
12	1.58631e+006	   402.125	   406.712	   406.712	   406.712
13	1.58639e+006	   483.375	   445.192	   445.192	   445.192
14	1.58641e+006	       504	   469.362	   469.362	   469.362
15	1.58636e+006	   454.125	   484.333	   484.333	   484.333
16	1.58636e+006	       453	   507.004	   507.004	   507.004
17	1.5865e+006	   586.375	   536.334	   536.334	   536.334
18	1.58652e+006	     613.5	   556.274	   556.274	   556.274
19	1.58641e+006	    500.75	    574.09	    574.09	    574.09
20	1.58643e+006	    520.25	   617.412	   617.412	   617.412
21	1.58666e+006	   744.625	    681.04	    681.04	    681.04
22	1.58677e+006	    862.75	   723.779	   723.779	   723.779
23	1.58659e+006	    675.25	    737.23	    737.23	    737.23
24	1.58653e+006	    623.25	    763.54	    763.54	    763.54
25	1.58677e+006	    863.75	   820.096	   820.096	   820.096
26	1.58692e+006	   1012.25	   868.703	   868.703	   868.703
27	1.58676e+006	    850.75	   887.722	   887.722	   887.722
28	1.58669e+006	   778.125	   908.073	   908.073	   908.073
29	1.58692e+006	   1005.75	   947.391	   947.391	   947.391
30	1.58701e+006	   1096.88	   978.439	   978.439	   978.439
31	1.58682e+006	     911.5	   991.225	   991.225	   991.225
32	1.58683e+006	   920.125	   1013.53	   1013.53	   1013.53
33	1.58706e+006	   1148.88	   1051.16	   1051.16	   1051.16
34	1.58703e+006	   1122.88	   1080.93	   1080.93	   1080.93
35	1.58692e+006	      1008	   1104.18	   1104.18	   1104.18
36	1.58704e+006	   1128.25	   1139.39	   1139.39	   1139.39
37	1.58717e+006	   1263.75	   1179.69	   1179.69	   1179.69
38	1.5871e+006	   1186.75	   1211.14	   1211.14	   1211.14
39	1.5871e+006	   1186.75	   1241.43	   1241.43	   1241.43
40	1.58723e+006	   1320.13	   1274.77	   1274.77	   1274.77
41	1.58726e+006	   1352.63	   1298.59	   1298.59	   1298.59
42	1.58717e+006	   1262.63	   1314.86	   1314.86	   1314.86
43	1.58719e+006	   1276.75	   1343.22	   1343.22	   1343.22
44	1.58736e+006	   1451.25	   1383.73	   1383.73	   1383.73
45	1.58737e+006	   1459.88	   1419.66	   1419.66	   1419.66
46	1.58726e+006	   1350.38	   1455.49	   1455.49	   1455.49
47	1.58741e+006	   1501.13	   1501.01	   1501.01	   1501.01
48	1.5876e+006	   1685.38	   1535.43	   1535.43	   1535.43
49	1.58742e+006	      1513	   1546.26	   1546.26	   1546.26
