Data	etched_(Thermal_SiO2+PR)_20sec_2
Recipe	SINGH
Site Name	
Points	1839
X-Resolution	0.399891
X-Coord	2535.24
Y-Coord	595.20
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	1.90609e+006	         0	   81.3396	   81.3396	   81.3396
2	1.90631e+006	   221.125	   88.9561	   88.9561	   88.9561
3	1.90616e+006	        77	   86.2131	   86.2131	   86.2131
4	1.90602e+006	       -65	   97.9348	   97.9348	   97.9348
5	1.90625e+006	     162.5	   140.962	   140.962	   140.962
6	1.90642e+006	    339.25	    182.66	    182.66	    182.66
7	1.90623e+006	    146.25	   198.497	   198.497	   198.497
8	1.9062e+006	    113.75	   214.424	   214.424	   214.424
9	1.90638e+006	     291.5	   251.097	   251.097	   251.097
10	1.90644e+006	   351.125	   292.835	   292.835	   292.835
11	1.90635e+006	   266.625	   331.134	   331.134	   331.134
12	1.90642e+006	       336	   374.848	   374.848	   374.848
13	1.90662e+006	   532.125	   414.703	   414.703	   414.703
14	1.90653e+006	    443.25	    438.29	    438.29	    438.29
15	1.9064e+006	   318.625	   465.404	   465.404	   465.404
16	1.90666e+006	    572.25	   511.165	   511.165	   511.165
17	1.90673e+006	   644.875	    552.93	    552.93	    552.93
18	1.9066e+006	   519.125	   577.494	   577.494	   577.494
19	1.90664e+006	       556	   603.745	   603.745	   603.745
20	1.90677e+006	    682.75	   638.752	   638.752	   638.752
21	1.9068e+006	    714.25	   667.539	   667.539	   667.539
22	1.90672e+006	   635.125	   689.781	   689.781	   689.781
23	1.90677e+006	    682.75	   721.478	   721.478	   721.478
24	1.9069e+006	       815	   762.548	   762.548	   762.548
25	1.9069e+006	   809.625	   799.134	   799.134	   799.134
26	1.90688e+006	    792.25	   828.979	   828.979	   828.979
27	1.90698e+006	    889.75	    856.55	    856.55	    856.55
28	1.90698e+006	    889.75	   882.164	   882.164	   882.164
29	1.90695e+006	       867	   911.769	   911.769	   911.769
30	1.90703e+006	    940.75	   953.082	   953.082	   953.082
31	1.90711e+006	   1027.38	   998.154	   998.154	   998.154
32	1.90716e+006	      1074	   1030.35	   1030.35	   1030.35
33	1.90712e+006	      1035	    1048.6	    1048.6	    1048.6
34	1.90711e+006	   1023.13	    1070.1	    1070.1	    1070.1
35	1.90719e+006	    1106.5	   1106.79	   1106.79	   1106.79
36	1.90724e+006	   1158.63	   1151.29	   1151.29	   1151.29
37	1.90731e+006	   1225.75	   1189.91	   1189.91	   1189.91
38	1.90729e+006	   1207.38	   1221.43	   1221.43	   1221.43
39	1.9073e+006	    1209.5	   1255.38	   1255.38	   1255.38
40	1.90743e+006	   1340.63	   1291.04	   1291.04	   1291.04
41	1.90744e+006	   1352.63	   1316.97	   1316.97	   1316.97
42	1.90738e+006	      1293	    1338.2	    1338.2	    1338.2
43	1.90739e+006	   1309.25	   1374.04	   1374.04	   1374.04
44	1.90756e+006	   1470.75	   1421.61	   1421.61	   1421.61
45	1.90763e+006	   1541.13	   1455.38	   1455.38	   1455.38
46	1.9075e+006	   1417.63	   1472.59	   1472.59	   1472.59
47	1.9075e+006	   1418.63	   1500.04	   1500.04	   1500.04
48	1.90768e+006	      1591	   1545.09	   1545.09	   1545.09
49	1.90774e+006	   1659.25	   1584.68	   1584.68	   1584.68
50	1.90764e+006	   1557.38	   1612.42	   1612.42	   1612.42
51	1.90767e+006	   1581.25	   1647.84	   1647.84	   1647.84
52	1.90785e+006	   1767.63	   1692.99	   1692.99	   1692.99
53	1.90785e+006	   1764.38	   1729.71	   1729.71	   1729.71
54	1.90777e+006	   1685.25	   1758.09	   1758.09	   1758.09
55	1.90789e+006	   1808.88	   1791.05	   1791.05	   1791.05
56	1.90794e+006	    1856.5	    1826.3	    1826.3	    1826.3
57	1.90792e+006	   1839.25	   1856.84	   1856.84	   1856.84
58	1.90797e+006	   1884.75	   1886.11	   1886.11	   1886.11
59	1.908e+006	   1912.88	   1919.21	   1919.21	   1919.21
60	1.90804e+006	   1950.88	    1954.9	    1954.9	    1954.9
61	1.9081e+006	   2014.75	   1987.97	   1987.97	   1987.97
62	1.9081e+006	   2012.63	   2017.84	   2017.84	   2017.84
63	1.90809e+006	   2009.38	   2052.26	   2052.26	   2052.26
64	1.9082e+006	   2110.13	   2093.93	   2093.93	   2093.93
65	1.90826e+006	   2169.75	   2132.88	   2132.88	   2132.88
66	1.90823e+006	   2149.13	   2163.24	   2163.24	   2163.24
67	1.90826e+006	   2177.38	   2192.56	   2192.56	   2192.56
68	1.90831e+006	      2224	   2228.31	   2228.31	   2228.31
69	1.90835e+006	   2268.38	   2267.52	   2267.52	   2267.52
